1	5	31	12343454555545	张三
2	6	32	46833682387382	张四
3	7	10	34234355656776	高五
4	8	12	23435465778799	龚六
5	9	11	32322343545677	闫一
6	10	1	76787898998987	钟二
7	11	2	12321323423434	郑三
8	12	14	56756768787989	陈四
9	13	46	34454564567686	邱五
10	14	49	32434345344566	朱五
11	15	48	54657658768789	邵子
12	16	30	89808767869077	张求
13	17	23	67567564545688	王飞
14	18	22	67845354352321	韦周三
15	19	24	54656768787898	王四五
16	20	21	78978676756756	黄晓明六
17	21	25	68797898121232	王七八
18	22	45	32412312313232	赖九九
19	23	4	24324354655466	张四五
20	24	5	46546575676786	喻一
21	25	6	34345464576756	于一
22	26	3	57567687687987	袁二
23	27	39	43543456456456	陈三
24	28	52	56657745434533	王一
25	29	41	65656734242322	马三炮
26	30	8	45567566787897	钱三场
27	31	42	56565756766575	梅大大
